Field ID,Acreage,State,County,2024 Winter Crop,2024 Cash Crop,2024 Tillage,2023 Winter Crop,2023 Cash Crop,2023 Tillage,2022 Winter Crop,2022 Cash Crop,2022 Tillage,2021 Winter Crop,2021 Cash Crop,2021 Tillage,2020 Winter Crop,2020 Cash Crop,2020 Tillage,2019 Winter Crop,2019 Cash Crop,2019 Tillage,2018 Winter Crop,2018 Cash Crop,2018 Tillage,2017 Winter Crop,2017 Cash Crop,2017 Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz30,23.0172594,MI,Genesee,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Soybeans,Conventional Tillage,,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz31,214.3240883,MI,Genesee,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage,No,Soybeans,Conservation Tillage,No,Soybeans,Conventional Tillage,Yes,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz32,60.2513214,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Soybeans,Conservation Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conventional Tillage,Yes,Winterwheat,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz33,17.1607303,MI,Lapeer,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conservation Tillage,No,Corn,Conventional Tillage,,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz34,29.1654982,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,Yes,Soybeans,Conservation Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conventional Tillage,,Winterwheat,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz35,123.0942477,MI,Lapeer,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,No Till,No,Corn,Conservation Tillage,No,Soybeans,Conventional Tillage,Yes,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz36,154.7851998,MI,Lapeer,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conservation Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conventional Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz37,130.2986733,MI,Lapeer,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conservation Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conventional Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz38,90.2171343,MI,Genesee,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage,No,Fallow,Conservation Tillage,No,Corn,Conservation Tillage,No,Soybeans,
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz39,31.3576566,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,No Till,No,Soybeans,Conservation Tillage,No,Corn,Conventional Tillage,,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz41,9.6328593,MI,Lapeer,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conventional Tillage,,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz42,52.8253371,MI,Genesee,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,Yes,Winterwheat,No Till,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz43,27.7362452,MI,Lapeer,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,Yes,Soybeans,Conservation Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz44,7.989812,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Corn,Conventional Tillage,Yes,Corn,Conservation Tillage,No,Soybeans,Conservation Tillage,No,Corn,Conventional Tillage,,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz45,32.4701421,MI,Lapeer,No,Corn,Conventional Tillage,No,Corn,Conventional Tillage,No,Winterwheat,Conventional Tillage,No,Soybeans,Conventional Tillage,Yes,Corn,Conservation Tillage,No,Fallow,Conservation Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz46,35.0828829,MI,Genesee,No,Corn,No Till,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz47,52.5194085,MI,Lapeer,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,Yes,Soybeans,Conservation Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conventional Tillage,,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz48,44.0247458,MI,Lapeer,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz49,2.0068738,MI,Lapeer,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage,No,Soybeans,Conservation Tillage,No,Soybeans,Conventional Tillage,,Pasture,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz50,30.5248321,MI,Lapeer,No,Corn,Conservation Tillage,No,Corn,Conservation Tillage,No,Corn,Conservation Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conservation Tillage,No,Corn,Conservation Tillage,No,Corn,Conventional Tillage,No,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz51,114.7450335,MI,Genesee,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage,No,Soybeans,Conventional Tillage,Yes,Corn,Conservation Tillage,,Alfalfa,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz52,111.0699266,MI,Genesee,No,Soybeans,Conventional Tillage,No,Winterwheat,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Winterwheat,Conservation Tillage,No,Soybeans,Conservation Tillage,No,Soybeans,Conventional Tillage,,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz53,236.71745,MI,Genesee,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage,No,Soybeans,Conservation Tillage,No,Soybeans,Conservation Tillage,No,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz54,124.3859896,MI,Genesee,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage,No,Soybeans,Conservation Tillage,Yes,Soybeans,Conventional Tillage,,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz55,292.3993437,MI,Genesee,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage,No,Soybeans,Conservation Tillage,No,Soybeans,Conventional Tillage,,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz56,37.7169077,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conservation Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz57,12.3837858,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,Yes,Corn,Conservation Tillage,No,Fallow,Conservation Tillage,No,Soybeans,Conventional Tillage,,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz58,20.1743666,MI,Lapeer,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,Yes,Soybeans,Conservation Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz59,94.8534496,MI,Genesee,No,Soybeans,Conservation Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,Yes,Winterwheat,No Till,No,Soybeans,Conservation Tillage,Yes,Corn,Conventional Tillage,Yes,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz60,6.8569789,MI,Genesee,No,Corn,Conservation Tillage,No,Winterwheat,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,No Till,Yes,Pasture,Conservation Tillage,Yes,Pasture,Conservation Tillage,,Pasture,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz62,13.1587851,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,Yes,Corn,Conservation Tillage,No,Fallow,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz63,23.3150527,MI,Genesee,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,Yes,Corn,Conservation Tillage,No,Fallow,Conservation Tillage,No,Soybeans,Conventional Tillage,,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz64,69.4970231,MI,Lapeer,No,Corn,Conservation Tillage,No,Corn,Conservation Tillage,No,Corn,Conservation Tillage,No,Corn,Conservation Tillage,Yes,Soybeans,Conservation Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conservation Tillage,No,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz65,70.6486914,MI,Lapeer,No,Corn,Conservation Tillage,No,Corn,Conservation Tillage,No,Corn,Conservation Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conservation Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz67,10.8568804,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,Yes,Corn,Conservation Tillage,No,Soybeans,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz68,22.6126514,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,Yes,Corn,Conservation Tillage,No,Fallow,Conservation Tillage,No,Soybeans,Conventional Tillage,,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz69,49.1516752,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,Yes,Corn,Conservation Tillage,No,Fallow,Conservation Tillage,No,Soybeans,Conventional Tillage,,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz70,14.5829903,MI,Genesee,No,Corn,Conservation Tillage,No,Soybeans,Conservation Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage,No,Fallow,Conservation Tillage,No,Soybeans,Conventional Tillage,,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz71,28.8195227,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,Yes,Corn,Conservation Tillage,No,Fallow,Conservation Tillage,No,Soybeans,Conventional Tillage,,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz72,124.7724692,MI,Oakland,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,No Till,No,Soybeans,No Till,No,Soybeans,Conservation Tillage,No,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz73,12.6426775,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage,No,Soybeans,Conventional Tillage,Yes,Corn,Conventional Tillage,,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz74,44.6834639,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,Yes,Corn,No Till,No,Fallow,Conservation Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz75,11.0381869,MI,Genesee,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,Yes,Corn,No Till,No,Deciduousforest,Conventional Tillage,No,Corn,Conventional Tillage,,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz76,39.1485625,MI,Genesee,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,Yes,Soybeans,No Till,No,Soybeans,Conservation Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz77,23.81348,MI,Genesee,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conventional Tillage,Yes,Soybeans,No Till,No,Fallow,Conservation Tillage,No,Soybeans,Conventional Tillage,No,Corn,Conservation Tillage
mppf.sp.a_andersons.u20240229172110883_7xL6M1r0oyAz78,15.8196858,MI,Lapeer,No,Corn,Conservation Tillage,No,Corn,Conservation Tillage,No,Corn,Conservation Tillage,No,Corn,Conservation Tillage,Yes,Corn,Conservation Tillage,No,Corn,Conservation Tillage,No,Corn,Conventional Tillage,,Alfalfa,Conservation Tillage
